"","cbq1","cbq2","cbq3","cbq4","cbq5","cbq6","cbq7","cbq8","cbq9","cbq10","cbq11","cbq12","cbq13","cbq14","cbq15","cbq16","cbq17","cbq18","cbq19","cbq20","cbq21","cbq22","cbq23","cbq24","cbq25","cbq26","cbq27","cbq28","cbq29","cbq30","cbq31","cbq32","cbq33","cbq34","cbq35","cbq36","cbq37","cbq38","cbq39","cbq40","cbq41","cbq42","cbq43","cbq44","cbq45","cbq46","cbq47","cbq48","cbq49","cbq50","cbq51","cbq52","cbq53","cbq54","cbq55","cbq56","cbq57","cbq58","cbq59","cbq60","cbq61","cbq62","cbq63","cbq64","cbq65","cbq66","cbq67","cbq68","cbq69","cbq70","cbq71","cbq72","cbq73","cbq74","cbq75","cbq76","cbq77","cbq78","cbq79","cbq80","cbq81","cbq82","cbq83","cbq84","cbq85","cbq86","cbq87","cbq88","cbq89","cbq90","cbq91","cbq92","cbq93","cbq94","cbq95","cbq96","cbq97","cbq98","cbq99","cbq100","cbq101","cbq102","cbq103","cbq104","cbq105","cbq106","cbq107","cbq108","cbq109","cbq110","cbq111","cbq112","cbq113","cbq114","cbq115","cbq116","cbq117","cbq118","cbq119","cbq120","cbq121","cbq122","cbq123","cbq124","cbq125","cbq126","cbq127","cbq128","cbq129","cbq130","cbq131","cbq132","cbq133","cbq134","cbq135","cbq136","cbq137","cbq138","cbq139","cbq140","cbq141","cbq142","cbq143","cbq144","cbq145","cbq146","cbq147","cbq148","cbq149","cbq150","cbq151","cbq152","cbq153","cbq154","cbq155","cbq156","cbq157","cbq158","cbq159","cbq160","cbq161","cbq162","cbq163","cbq164","cbq165","cbq166","cbq167","cbq168","cbq169","cbq170","cbq171","cbq172","cbq173","cbq174","cbq175","cbq176","cbq177","cbq178","cbq179","cbq180","cbq181","cbq182","cbq183","cbq184","cbq185","cbq186","cbq187","cbq188","cbq189","cbq190","cbq191","cbq192","cbq193","cbq194","cbq195"
"kw1010",3,5,7,5,4,2,1,2,6,4,6,4,4,6,7,7,3,7,3,4,6,2,7,5,4,6,3,2,5,7,4,4,5,2,4,4,7,3,4,5,4,7,5,6,3,4,5,6,1,5,4,6,5,6,5,7,5,6,3,7,2,6,6,4,7,2,6,3,6,4,4,3,4,7,4,5,6,7,2,4,6,7,5,4,4,3,3,6,6,4,7,6,4,5,3,4,4,4,1,4,4,4,4,6,4,6,6,5,1,5,2,2,4,3,2,5,7,6,2,3,3,7,6,4,6,5,5,4,7,6,3,6,5,5,3,4,2,1,7,6,3,7,5,4,3,5,5,6,3,3,4,6,6,6,4,3,7,5,3,3,4,4,5,5,6,7,5,3,4,7,5,5,4,7,3,5,5,2,1,3,5,6,5,2,5,3,5,3,7,5,6,4,5,4,5
"kw1011",5,3,1,5,3,5,2,5,6,5,4,5,5,6,2,4,2,4,2,3,5,6,4,5,4,6,4,4,6,5,3,3,1,6,3,4,5,3,3,4,5,5,3,4,4,5,3,6,7,4,6,4,3,4,3,6,2,7,4,7,6,6,5,2,5,4,6,3,2,6,3,6,6,6,2,4,6,4,4,7,5,5,3,4,3,2,5,4,5,3,4,3,3,6,2,6,4,5,5,4,6,6,5,6,4,5,3,3,6,4,4,6,4,2,5,4,6,4,3,6,2,6,3,6,3,6,3,4,6,2,5,5,5,3,2,3,3,4,3,5,4,6,4,4,3,6,5,5,6,3,5,5,6,6,4,6,7,4,6,4,4,3,5,5,2,6,2,3,4,3,5,4,5,6,4,4,6,5,3,3,5,5,4,2,3,3,3,5,6,6,3,4,4,5,3
"kw1012",6,4,7,4,2,7,1,6,7,7,7,6,6,6,1,2,1,6,2,6,2,6,1,6,7,6,5,2,6,1,5,3,1,4,2,2,7,2,2,2,4,2,3,5,3,6,3,7,1,5,6,5,3,6,2,6,2,5,6,6,2,6,6,5,4,6,2,2,6,7,6,3,4,5,3,5,7,6,4,5,5,6,7,4,6,1,1,3,4,6,6,6,3,5,2,6,5,5,3,6,4,6,6,7,6,1,7,1,3,5,1,3,4,5,6,3,6,6,1,3,6,6,6,7,5,6,2,6,1,7,5,6,6,1,1,4,7,7,7,3,2,6,5,3,3,5,6,6,2,1,5,7,6,5,1,5,6,2,6,4,6,2,6,6,6,6,6,3,6,6,3,6,6,6,4,5,5,1,6,3,6,6,6,6,5,2,6,6,5,5,5,2,7,3,1
"kw1013",2,4,1,6,3,5,2,4,6,2,1,7,2,6,2,5,2,3,5,7,1,1,3,5,2,5,5,6,3,1,6,6,2,5,5,5,5,5,6,6,5,6,3,5,2,6,5,3,7,6,5,6,5,2,5,6,3,5,5,6,2,5,6,2,6,7,6,5,6,5,5,5,2,2,5,5,5,5,3,2,6,6,3,5,6,6,2,3,3,7,5,3,6,5,3,6,2,6,6,6,3,3,6,3,5,3,5,6,5,3,6,4,6,6,6,3,6,5,3,3,6,6,3,6,6,6,5,5,3,5,5,5,6,5,2,6,2,5,6,5,2,6,6,6,7,7,5,6,5,5,6,5,6,6,6,3,2,3,3,3,2,3,6,6,7,6,6,5,6,6,6,3,5,6,5,3,5,6,2,3,5,3,6,5,3,3,6,5,6,5,6,2,2,7,3
"kw1014",4,5,7,6,3,5,4,3,7,7,7,2,4,4,5,4,2,4,3,4,5,3,3,6,5,6,4,4,2,4,6,5,1,3,5,5,7,2,3,6,5,7,5,7,1,4,2,7,7,6,3,5,3,6,6,7,4,7,4,7,5,6,7,4,6,7,6,3,6,5,5,3,6,6,6,7,4,5,4,7,6,7,3,2,3,4,5,4,7,4,7,3,4,3,4,7,5,6,4,5,4,5,7,3,2,6,7,2,3,6,5,3,5,6,7,4,6,5,3,4,5,5,3,6,6,5,5,5,5,7,5,5,6,4,5,3,4,4,3,6,1,7,4,4,5,4,6,5,3,3,6,7,6,5,6,4,7,4,3,4,6,3,6,6,4,7,6,5,5,6,5,6,5,6,4,2,5,6,5,3,4,3,5,3,4,5,6,5,6,5,6,4,6,6,1
"kw1015",1,1,5,6,5,2,3,1,6,1,4,4,4,7,2,7,2,5,3,6,5,4,4,4,4,5,6,2,5,4,7,4,1,4,4,5,5,3,4,4,4,6,5,5,3,5,4,7,7,4,3,4,3,6,5,7,5,5,4,6,3,4,3,1,7,7,7,5,5,4,3,5,4,2,6,6,6,5,5,2,5,7,5,2,5,5,4,6,2,2,6,5,4,5,3,7,5,7,3,6,3,5,7,3,5,3,5,6,5,6,5,6,6,2,4,5,4,3,3,3,5,2,5,7,5,4,5,5,3,5,4,4,5,5,4,6,4,4,5,5,4,5,5,5,2,5,4,5,4,5,6,7,6,5,4,5,5,4,4,4,5,5,5,6,5,6,6,7,3,7,5,3,5,7,5,2,4,4,1,5,5,6,6,4,7,5,2,3,4,3,4,3,3,6,3
"kw1016",6,6,1,5,2,5,6,6,7,7,7,1,6,2,3,5,2,7,3,7,5,5,3,7,6,6,5,3,6,3,7,2,7,6,7,5,6,2,6,7,3,7,2,6,2,6,5,7,7,6,5,7,3,5,7,7,2,5,5,6,6,6,7,6,6,3,6,2,5,1,3,3,6,6,6,7,6,6,3,7,7,6,7,7,6,4,3,2,5,1,5,6,2,5,3,7,6,6,2,6,3,5,3,7,7,6,5,5,3,4,3,3,5,3,6,5,7,5,2,3,3,6,5,6,6,3,5,5,6,7,6,5,6,5,6,6,2,1,6,6,7,7,3,6,3,6,7,7,3,3,6,5,6,6,6,2,5,5,3,5,3,2,5,6,1,6,3,6,2,7,6,6,5,5,5,6,4,3,1,5,5,6,3,3,3,5,3,3,6,2,5,3,2,5,2
"kw1017",6,6,7,6,2,6,4,3,6,6,6,5,2,1,2,4,3,6,2,6,5,2,3,6,5,6,4,4,3,6,5,3,1,3,4,4,5,5,3,4,5,6,3,6,2,5,4,5,7,5,4,5,3,5,6,7,6,3,4,3,5,3,6,6,5,5,5,3,5,2,3,5,5,5,5,6,3,5,3,6,5,7,6,7,5,5,3,5,5,3,6,4,3,5,3,6,3,5,3,5,3,3,3,5,2,6,6,2,3,6,5,3,5,3,5,5,7,5,3,2,5,3,4,5,6,5,2,5,7,6,4,5,5,5,4,4,1,3,3,5,3,4,4,7,3,6,5,7,4,5,5,5,3,3,4,3,5,4,3,4,3,6,5,5,3,6,5,5,5,2,3,3,5,5,5,2,5,5,3,3,4,2,3,3,5,3,5,3,6,3,4,2,4,5,2
"kw1018",4,4,7,6,6,4,2,5,7,5,6,4,3,3,4,3,2,5,4,6,5,1,3,6,4,3,4,5,4,5,5,6,1,2,5,4,4,6,1,1,7,6,6,5,2,5,6,7,7,5,4,6,4,6,4,7,3,5,5,6,1,1,6,1,5,7,7,7,4,5,4,4,3,2,5,6,6,4,1,5,2,5,7,7,1,5,5,6,2,4,6,3,3,4,7,7,5,6,7,5,2,5,4,6,5,5,6,3,4,5,5,5,5,3,6,4,6,4,2,4,7,7,7,7,6,7,1,1,4,5,4,3,6,6,4,5,2,4,7,3,3,3,2,5,3,6,7,6,3,6,7,7,7,5,7,3,5,3,4,4,5,3,7,7,2,7,6,3,6,7,5,6,5,7,4,3,4,3,5,3,4,6,6,5,4,2,3,5,4,5,1,3,3,6,5
"kw1019",2,4,1,6,3,6,2,6,6,2,6,2,6,6,2,6,2,6,2,6,3,6,2,6,6,6,4,4,7,5,5,5,1,4,2,2,7,3,5,6,6,7,3,5,3,3,3,7,7,7,5,3,2,6,7,7,2,2,6,6,1,2,5,6,6,6,6,3,7,3,3,4,3,4,5,7,5,5,6,3,6,6,2,6,6,2,3,3,6,3,7,6,1,7,3,7,4,5,1,7,1,4,5,6,6,6,6,2,2,6,3,2,3,7,6,2,7,5,3,3,2,6,1,7,7,6,2,4,6,2,6,2,6,6,6,5,3,5,7,6,2,3,5,5,5,6,3,6,3,5,7,7,7,3,7,1,4,5,6,3,5,3,7,5,2,7,3,3,3,3,3,6,7,5,1,5,5,3,5,5,6,7,3,2,5,5,3,5,5,3,7,1,6,6,2
"kw1020",2,2,7,6,6,6,6,2,6,2,2,6,2,6,2,6,2,6,2,6,6,6,6,6,6,6,6,7,6,2,6,6,1,4,2,2,6,6,2,6,2,6,5,6,2,6,6,6,7,6,2,6,6,6,6,6,2,6,2,6,6,6,6,6,6,6,6,2,6,6,3,3,6,5,6,6,6,3,3,6,6,6,2,2,3,5,3,2,7,2,6,6,2,6,2,6,6,6,5,6,2,5,6,3,6,6,6,2,6,6,5,5,6,6,6,3,6,6,2,2,5,5,2,6,6,5,3,6,5,6,5,6,6,6,2,6,2,2,6,6,6,6,6,6,2,6,6,6,5,5,6,6,6,6,6,5,6,2,3,6,5,3,6,6,5,6,2,3,5,5,5,6,6,6,5,5,3,6,6,3,6,6,2,2,3,6,6,5,6,5,5,3,3,6,2
"kw1021",7,7,1,3,6,7,1,5,7,7,7,3,3,1,7,7,1,7,7,2,5,7,2,7,7,7,5,5,1,7,5,1,1,6,6,2,3,1,2,6,7,6,6,7,1,2,1,7,7,1,6,3,2,7,5,6,1,3,5,6,4,6,6,4,6,3,7,3,5,7,1,5,2,1,3,6,6,6,6,6,6,6,6,5,2,3,2,7,2,1,6,5,2,6,2,7,7,7,5,5,4,6,5,5,5,3,6,1,6,6,5,2,2,5,5,6,7,5,2,3,5,6,6,6,7,6,1,2,2,6,7,2,3,5,4,2,3,2,3,6,1,5,2,2,6,2,5,6,5,5,5,6,7,3,7,6,2,2,7,3,5,2,5,6,6,7,6,2,3,6,2,6,6,5,5,3,2,3,5,3,3,4,7,1,2,2,6,6,6,3,6,1,2,5,1
"kw1022",5,5,7,5,2,4,5,7,7,7,5,5,7,5,5,2,4,5,4,7,4,6,4,4,4,6,5,3,6,3,1,4,1,3,5,5,5,3,1,1,7,6,7,1,3,1,7,7,7,1,7,1,3,7,5,7,3,1,7,7,1,5,5,4,6,7,7,3,7,2,3,7,1,1,5,7,5,5,3,3,1,5,7,3,6,3,5,7,6,3,5,7,7,5,3,7,5,6,7,5,4,7,7,7,6,5,7,1,3,5,2,3,5,5,5,7,7,5,3,3,3,3,3,7,7,5,1,5,4,4,1,3,7,5,3,4,4,2,7,7,1,5,5,7,7,5,5,7,7,3,7,7,4,5,3,3,4,4,5,5,3,2,7,7,2,7,7,5,7,3,3,6,3,7,1,7,5,4,3,1,4,6,2,2,5,4,6,2,7,1,7,3,7,5,4
"kw1023",2,5,7,7,3,5,5,5,7,6,7,2,1,2,7,7,4,4,3,7,3,1,4,4,6,7,7,6,7,1,7,3,1,1,5,1,7,4,5,5,5,6,6,5,5,4,7,7,7,6,3,6,6,7,6,7,5,6,5,7,2,5,6,1,7,7,7,2,7,6,3,1,1,6,6,7,5,2,1,6,5,7,2,1,2,5,1,2,7,7,6,6,3,4,6,7,4,7,7,6,5,6,3,2,5,7,7,3,3,6,4,3,4,2,2,3,7,6,4,5,7,7,6,7,7,6,5,5,7,6,6,2,7,6,3,7,2,6,6,6,1,7,3,6,6,7,7,6,3,3,7,6,6,7,2,7,7,5,1,5,3,6,6,7,7,7,6,6,6,7,7,6,5,7,7,6,5,2,1,3,5,3,1,2,6,6,7,5,6,2,7,2,6,7,3
"kw1024",3,2,1,2,6,2,4,2,7,3,3,2,3,7,6,6,2,5,5,7,6,2,2,6,2,6,3,5,5,1,6,6,7,2,4,2,1,7,1,6,6,7,6,5,1,6,7,5,7,5,6,6,6,6,5,7,1,2,5,6,5,5,6,1,6,6,4,6,7,2,6,5,3,1,6,7,5,3,2,3,2,6,6,1,6,7,1,6,2,6,5,2,3,5,5,6,6,5,6,6,6,3,7,5,5,2,6,6,1,5,6,3,5,2,6,3,5,5,1,1,7,7,5,5,7,2,2,5,3,2,4,5,7,5,4,6,1,3,2,5,1,5,1,5,2,7,7,6,2,6,7,6,6,5,5,6,7,1,1,2,7,7,4,6,2,7,3,5,6,6,7,5,3,6,2,2,6,6,5,6,2,2,6,3,4,6,5,4,7,3,6,3,4,6,3
"kw1025",2,5,1,5,5,3,2,5,5,3,6,4,5,5,1,5,2,6,3,3,7,7,3,7,7,6,5,4,5,5,5,5,6,6,3,4,3,3,3,1,3,6,5,3,1,5,3,7,7,3,5,4,5,7,5,7,1,6,4,7,7,6,4,2,6,7,6,2,6,5,5,6,6,5,5,7,6,7,4,5,6,4,5,4,1,5,4,3,2,2,4,6,3,6,2,6,6,6,7,6,5,4,5,5,4,6,6,3,6,5,4,6,4,5,7,1,6,5,3,1,2,6,5,5,5,5,2,6,2,6,6,7,6,2,5,5,2,4,6,6,2,3,4,5,2,7,6,6,3,6,5,6,7,5,5,3,7,2,7,5,4,3,6,5,5,7,5,4,5,6,3,7,7,7,3,5,2,2,6,3,7,6,6,2,3,5,5,5,5,3,6,5,6,5,2
"kw1026",1,6,1,7,2,5,1,6,5,5,7,6,1,7,3,5,2,5,3,6,6,2,2,7,6,6,5,2,6,6,7,4,7,6,6,4,7,6,4,1,7,6,5,6,1,6,2,7,7,5,6,7,3,6,7,7,3,7,5,6,4,5,6,4,6,7,6,3,6,2,3,4,6,7,6,6,7,7,3,4,6,6,3,2,5,6,2,7,7,6,7,5,3,7,2,7,3,6,2,5,3,2,7,6,2,7,7,2,4,5,4,3,6,4,6,4,7,5,3,6,5,7,6,7,7,6,5,5,7,2,6,5,6,3,7,7,2,3,6,6,5,4,3,6,6,6,6,6,6,5,6,6,6,4,5,3,7,5,7,7,7,7,5,4,7,6,6,6,5,6,6,6,3,7,4,2,6,3,2,5,6,3,3,7,6,3,2,5,2,2,6,2,2,6,1
"kw1027",1,1,7,6,3,6,5,2,6,5,5,7,5,6,3,7,2,6,2,6,3,1,3,6,4,1,5,7,5,1,6,7,7,6,5,4,5,5,5,5,2,6,4,5,3,7,6,6,7,6,2,6,5,6,5,6,3,3,4,6,2,3,6,2,2,7,6,7,5,3,4,3,1,5,5,6,6,5,3,5,6,6,3,3,5,7,1,7,6,3,5,5,6,5,3,6,5,5,5,6,3,3,6,5,5,5,6,7,3,5,7,3,5,5,5,5,5,5,3,7,7,7,3,6,6,3,3,2,4,6,3,2,6,6,2,6,2,3,5,5,1,3,5,6,2,6,6,6,3,7,6,6,5,5,4,3,5,3,5,5,3,7,5,5,7,6,7,5,7,7,7,5,5,6,7,2,6,1,5,6,7,6,3,7,5,3,1,3,5,3,7,5,6,6,3
"kw1028",5,5,1,7,2,5,5,3,6,2,3,6,3,6,2,7,3,3,3,6,5,1,7,5,3,6,5,2,6,2,2,6,1,4,5,5,5,5,2,6,2,6,6,5,4,5,6,5,7,5,2,5,6,6,5,6,5,3,2,6,2,4,2,2,5,6,6,2,5,3,5,6,6,3,6,7,5,3,3,4,5,6,6,2,5,5,5,2,2,6,6,6,4,4,6,6,6,6,6,6,6,4,6,3,4,6,6,6,5,4,4,3,7,2,5,4,6,6,2,2,4,6,6,4,6,3,2,2,6,5,5,5,6,6,2,5,2,6,3,5,2,7,2,5,2,5,6,6,6,5,5,6,5,5,5,5,6,5,2,3,2,1,6,6,5,6,2,5,3,6,3,6,5,7,1,3,6,6,5,6,6,5,2,2,5,3,2,2,3,3,6,2,3,3,3
"kw1029",4,7,1,3,5,5,5,4,4,7,6,3,3,3,1,3,3,6,5,5,3,1,3,6,2,7,2,4,7,4,1,3,1,7,1,1,7,1,5,4,6,4,3,3,2,4,2,6,7,5,5,3,2,4,3,6,2,2,4,6,3,6,2,2,2,5,5,6,4,5,5,4,2,2,3,5,5,6,3,4,6,6,4,1,4,4,4,2,7,7,3,6,4,7,3,6,6,6,5,3,3,5,5,4,7,6,6,1,1,3,4,1,4,6,7,1,7,4,2,2,2,5,4,6,6,3,3,4,4,3,2,6,5,4,6,2,5,4,6,6,5,3,7,5,4,5,4,6,4,2,7,6,6,3,6,5,1,2,1,3,4,2,5,6,2,7,3,5,4,4,1,7,7,7,5,3,7,6,6,6,6,5,6,6,7,3,1,5,4,5,3,2,2,7,1
"kw1030",1,5,7,7,6,7,4,1,4,4,2,5,4,6,4,4,3,7,1,6,3,1,4,6,5,7,3,5,6,4,7,4,1,5,5,5,7,5,3,5,3,7,4,6,5,5,3,7,7,5,4,5,3,7,6,7,6,4,2,7,3,5,3,4,5,6,7,1,7,4,3,3,5,7,5,7,5,6,3,5,7,7,5,3,5,5,1,4,7,3,5,5,4,5,4,7,5,6,4,7,2,4,5,5,5,7,5,4,4,4,6,3,4,4,6,4,7,5,5,3,6,5,3,5,7,4,2,4,7,5,4,5,7,5,6,5,2,4,7,6,3,4,6,5,5,6,6,6,3,3,7,7,3,3,6,1,7,6,1,4,1,2,4,7,4,7,3,4,4,6,5,4,6,7,1,3,4,3,1,3,5,6,2,3,4,5,2,2,3,6,6,4,2,7,6
"kw1031",5,3,4,5,3,2,3,5,5,5,6,3,6,7,5,5,3,5,2,5,5,5,3,2,3,1,5,3,6,2,7,1,1,1,5,1,2,5,5,3,3,5,3,3,3,5,5,5,7,3,5,3,3,5,5,5,3,3,5,5,3,5,7,3,5,2,5,2,5,3,5,5,3,3,5,5,5,3,3,6,5,6,3,5,6,3,3,5,3,5,5,6,3,6,3,6,3,6,2,6,5,2,3,6,5,5,7,5,5,3,5,3,5,6,6,6,7,6,1,5,2,1,1,7,6,3,4,4,5,5,1,3,6,4,5,2,2,6,7,7,7,1,7,3,4,4,6,6,2,3,7,7,5,5,6,1,1,3,1,3,1,2,6,6,2,6,5,5,3,1,2,5,3,5,4,3,3,4,5,3,5,1,3,4,6,5,4,3,1,6,1,4,6,5,4
"kw1032",2,7,1,6,1,7,2,2,4,2,2,5,2,1,1,6,1,7,6,6,6,4,4,5,7,7,7,2,5,7,6,3,7,7,7,4,7,3,7,6,3,7,4,7,2,7,2,7,7,7,2,6,2,7,7,7,3,1,5,5,7,7,7,7,7,5,6,1,7,1,1,1,7,6,3,7,5,7,6,7,7,6,1,3,2,6,4,4,6,3,7,7,1,7,1,7,6,7,6,3,5,5,1,5,5,5,6,3,1,7,1,1,6,7,4,3,7,3,3,1,6,7,5,7,7,7,4,7,5,7,3,7,7,2,4,5,1,1,6,7,7,2,5,5,6,5,6,7,1,1,7,7,6,6,7,6,7,2,7,7,2,6,5,7,6,7,1,2,5,6,6,7,7,7,1,6,7,6,6,2,7,7,2,1,6,4,3,6,7,6,1,5,5,6,2
"kw1033",5,5,7,5,1,3,1,3,6,7,7,3,3,7,2,7,1,4,1,5,6,4,4,4,5,5,5,4,5,3,5,2,7,6,6,4,4,1,4,7,3,6,4,6,3,5,4,5,7,5,3,5,3,6,5,5,3,6,2,4,2,5,4,4,5,6,4,3,5,7,4,4,5,5,4,6,6,6,3,5,5,5,3,3,5,3,1,3,5,3,6,5,3,5,3,6,6,6,3,5,3,2,5,6,5,5,5,3,3,5,3,3,6,6,6,2,6,6,2,3,6,7,3,6,7,3,5,7,3,7,5,5,5,5,5,5,3,5,3,6,1,7,4,5,3,7,5,6,3,3,7,7,5,4,4,3,6,3,5,4,5,6,5,6,3,7,3,5,3,6,6,6,7,7,6,7,1,6,5,5,6,1,3,3,5,5,5,4,5,5,2,5,6,6,1
"kw1034",3,7,7,6,6,6,5,3,6,2,7,3,3,1,7,1,1,4,2,2,6,3,7,5,5,7,4,2,5,5,6,1,1,4,6,5,6,2,5,6,5,6,4,6,4,3,3,7,1,7,3,5,3,2,2,7,6,6,3,1,5,6,6,7,6,3,6,3,6,6,5,3,7,5,4,6,3,6,6,6,7,6,5,2,6,5,2,5,6,3,6,4,3,7,3,7,5,6,6,3,5,4,7,6,2,3,3,5,2,5,2,5,4,6,6,4,7,5,4,6,3,5,6,5,6,5,4,5,6,6,6,6,5,3,4,3,6,6,3,6,5,6,5,5,6,5,3,5,5,3,3,5,4,5,5,3,7,6,3,4,6,5,6,5,5,7,6,5,4,6,3,6,6,7,4,5,5,6,2,6,5,3,5,3,3,3,5,5,6,6,6,2,5,5,2
"kw1035",2,1,7,1,3,2,1,4,7,6,5,2,2,7,2,5,1,1,4,6,3,1,1,5,2,6,5,6,5,6,6,6,1,1,6,6,4,3,1,1,3,7,7,4,1,6,2,7,1,1,3,3,5,7,7,7,1,6,6,7,3,2,5,2,6,7,6,1,7,3,7,1,2,3,7,4,6,1,2,5,7,7,6,7,2,7,1,1,3,4,5,6,7,2,7,7,6,5,7,6,5,4,5,3,1,4,7,7,4,6,6,7,6,3,5,2,7,6,1,7,1,7,6,7,7,6,5,2,2,3,5,3,7,6,5,5,1,5,3,4,1,7,2,6,1,7,4,7,3,7,7,7,7,2,1,5,6,2,4,3,2,7,7,6,1,7,6,6,5,6,1,5,6,7,5,2,6,4,7,2,2,5,7,2,7,6,2,6,6,2,7,5,6,7,6
"kw1036",6,4,7,6,3,6,1,1,7,5,1,6,2,7,6,6,2,1,3,5,6,1,3,6,1,6,2,7,7,4,7,6,1,2,6,2,3,6,1,7,3,7,6,6,1,6,7,7,7,6,2,5,2,6,5,7,1,6,5,6,1,5,3,5,6,7,6,2,6,6,3,7,2,5,6,7,5,3,2,6,6,7,5,2,3,6,2,6,2,6,6,6,6,3,6,7,3,7,7,2,2,5,2,2,6,6,6,5,6,6,5,2,7,2,1,6,6,6,2,2,2,6,6,6,6,6,2,2,6,6,2,6,6,6,2,6,3,2,5,3,3,3,5,6,6,6,6,6,2,6,6,6,6,5,6,6,6,3,2,2,6,2,6,6,6,6,6,5,6,6,6,5,2,6,3,3,5,5,1,5,5,5,5,3,5,6,5,3,3,3,5,3,2,6,3
"kw1037",6,2,7,6,6,6,6,2,6,6,2,2,2,6,2,6,2,2,2,6,2,2,6,6,2,2,6,2,6,6,6,6,7,2,2,6,6,2,2,6,2,6,2,6,6,6,6,6,7,2,2,6,6,6,6,6,2,6,2,2,6,2,6,6,6,2,6,6,6,2,2,6,2,6,6,6,2,2,2,6,6,6,2,2,2,2,2,2,6,2,6,6,2,2,6,6,6,6,6,6,2,6,6,6,6,6,6,6,2,6,2,6,6,2,6,2,6,6,2,6,6,2,6,6,6,2,6,2,6,6,2,6,6,6,6,6,2,2,6,6,2,2,6,6,2,6,6,6,2,2,6,6,6,6,6,2,2,2,2,6,6,2,6,6,6,6,6,6,6,2,6,6,5,6,2,2,2,2,2,2,2,6,2,6,2,6,2,2,2,2,2,6,6,6,6
"kw1038",2,6,7,2,7,4,1,3,6,5,5,2,5,3,3,3,3,4,3,7,5,5,3,4,2,7,5,1,6,4,4,3,1,6,6,4,4,2,5,6,6,6,7,6,1,4,3,4,7,4,7,7,4,4,5,7,2,6,4,7,1,6,6,4,5,7,7,4,7,5,4,4,5,4,3,6,4,4,4,3,4,5,7,7,2,6,1,4,4,4,5,6,1,6,5,7,1,5,7,7,2,4,7,7,4,4,7,3,3,4,5,4,1,6,4,3,5,5,1,3,7,6,4,7,5,7,1,6,2,6,4,4,5,6,4,5,2,2,4,4,4,3,4,5,6,7,5,6,3,3,6,7,7,4,3,5,6,1,5,3,6,3,7,7,2,7,6,3,4,6,5,7,6,7,3,1,4,5,6,5,5,5,7,6,5,4,5,1,5,3,5,4,4,4,1
"kw1039",6,2,7,6,3,5,5,2,6,2,6,2,5,6,3,6,2,6,2,6,5,2,3,2,2,6,6,3,5,2,6,6,7,2,2,2,6,6,2,3,3,6,6,5,3,5,6,2,7,6,3,2,6,6,6,6,6,6,5,6,2,5,5,5,2,6,5,6,6,2,6,2,2,5,6,6,3,2,2,6,6,6,2,3,3,6,2,7,5,5,6,6,2,2,3,6,6,7,6,6,6,3,4,5,1,6,6,6,3,2,6,3,2,5,6,3,6,5,3,3,4,6,6,6,6,6,1,5,6,2,6,5,6,6,2,6,3,3,5,6,1,6,5,5,5,7,2,7,6,6,7,6,5,5,5,1,5,3,2,5,6,6,5,6,6,7,6,5,3,6,6,5,2,6,3,6,2,6,5,3,5,2,6,3,5,2,2,3,5,6,6,4,2,6,2
"kw1040",1,5,1,6,6,2,2,6,6,4,7,7,4,6,4,1,5,6,2,7,2,5,6,6,4,6,2,4,6,2,5,3,7,6,4,3,4,5,1,4,4,6,6,6,5,4,3,7,7,4,6,6,4,5,5,6,5,6,5,7,4,5,2,4,6,7,6,2,5,6,4,4,7,2,6,6,4,5,6,3,5,6,5,4,6,4,2,4,2,4,5,5,3,6,3,6,4,6,7,6,4,7,5,4,5,5,4,6,3,6,4,4,6,4,2,4,4,4,5,6,4,6,3,6,5,4,2,6,5,5,4,6,6,3,7,4,4,4,6,6,2,4,4,6,6,6,4,4,5,3,4,7,3,2,4,6,5,4,5,4,2,3,7,7,5,7,6,5,4,6,4,5,5,7,4,4,2,4,3,2,6,4,4,3,6,4,5,4,6,6,6,4,6,4,4
"kw1041",1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,5,7,1,1,1,1,7,1,7,7,7,1,7,7,7,1,1,1,3,1,7,1,1,1,5,7,5,3,1,1,1,7,7,1,7,7,7,7,1,7,7,7,1,1,3,7,7,7,7,7,7,1,7,1,1,1,7,7,1,7,1,3,3,1,7,7,3,1,7,3,1,7,7,1,7,1,7,1,7,7,1,7,1,7,1,1,7,7,1,7,7,7,7,1,1,7,7,7,7,7,7,7,5,1,7,7,7,7,1,7,7,1,7,1,7,1,1,7,7,4,1,1,7,7,7,7,7,1,7,7,7,7,1,7,7,7,3,7,1,1,1,7,1,1,7,1,3,7,7,7,7,5,7,7,1,7,7,7,7,7,7,1,1,1,7,7,1,1,7,1,5,1,1,1,7,1,1,7,1
